name,full_name,html_url,description,stargazers_count,forks_count,open_issues_count,watchers_count,topics,category
free-programming-books,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,:books: Freely available programming books,367572,64071,42,367572,,utils
public-apis,public-apis/public-apis,https://github.com/public-apis/public-apis,A collective list of free APIs,364317,38257,575,364317,,utils
system-design-primer,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,318883,52156,516,318883,,education
awesome-python,vinta/awesome-python,https://github.com/vinta/awesome-python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",258704,26260,492,258704,,utils
Python,TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python,206715,47746,394,206715,,utils
AutoGPT,Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",178350,45967,220,178350,,utils
stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,156281,28995,2425,156281,,utils
transformers,huggingface/transformers,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",149287,30299,1995,149287,,ml_nlp
youtube-dl,ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl,Command-line program to download videos from YouTube.com and other video sites,137182,10462,4140,137182,,utils
HelloGitHub,521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",127468,10710,199,127468,,utils
yt-dlp,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,A feature-rich command-line audio/video downloader,125535,10029,2048,125535,,utils
langflow,langflow-ai/langflow,https://github.com/langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,113821,7511,857,113821,,utils
DeepSeek-V3,deepseek-ai/DeepSeek-V3,https://github.com/deepseek-ai/DeepSeek-V3,,99180,16180,75,99180,,utils
thefuck,nvbn/thefuck,https://github.com/nvbn/thefuck,Magnificent app which corrects your previous console command.,93943,3759,392,93943,,utils
whisper,openai/whisper,https://github.com/openai/whisper,Robust Speech Recognition via Large-Scale Weak Supervision,87872,10893,92,87872,,utils
ComfyUI,comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",87796,9758,2834,87796,,visualization
django,django/django,https://github.com/django/django,The Web framework for perfectionists with deadlines.,84910,32904,364,84910,,web_frameworks
core,home-assistant/core,https://github.com/home-assistant/core,:house_with_garden: Open source home automation that puts local control and privacy first.,81138,35024,2891,81138,,utils
manim,3b1b/manim,https://github.com/3b1b/manim,Animation engine for explanatory math videos,80413,6869,465,80413,,utils
devops-exercises,bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions",78191,17543,40,78191,,database
